Sequence ,%Santa_Clara_faield,%OCDPH_failed,%CADPH_failed,%Alameda_failed
SEQ_057,13.54166667,0,0,
SEQ_058,3.125,1.234567901,0,
SEQ_059,3.191489362,0,0,
SEQ_060,,,2.808988764,
SEQ061,6.315789474,,0,
SEQ062,0,0,,
SEQ064,,,1.25,
SEQ065,5.263157895,0,,
SEQ066,,,,
SEQ067,,,0.571428571,9.473684211
SEQ068,16.84210526,22.22222222,1.169590643,5.084745763
SEQ069,29.47368421,,,0
SEQ070,57.89473684,,,
SEQ071,43.15789474,100,4.347826087,
SEQ072,67.08860759,,1.098901099,30.98591549
SEQ073,,,0.549450549,0
SEQ074,24.7311828,2.702702703,,0